"FeatureName","DateCode","Value","Energy.Type"
"Midlothian",2019,8.415,"Coal"
"Moray",2019,1847.185,"Gas"
"Perth and Kinross",2019,709.864,"Electricity"
"South Lanarkshire",2019,187.329,"Bioenergy & Wastes"
"West Lothian",2019,89.613,"Bioenergy & Wastes"
"Moray",2019,12.732,"Coal"
"Moray",2019,1016.655,"Petroleum Products"
"Shetland Islands",2019,27.321,"Bioenergy & Wastes"
"South Lanarkshire",2019,2485.814,"Gas"
"South Lanarkshire",2019,1120.708,"Electricity"
"Glasgow City",2019,5194.083,"Gas"
"South Lanarkshire",2019,3004.174,"Petroleum Products"
"Glasgow City",2019,3323.886,"Petroleum Products"
"Moray",2019,474.866,"Electricity"
"Shetland Islands",2019,2.542,"Manufactured Fuels"
"Argyll and Bute",2019,464.385,"Gas"
"Na h-Eileanan Siar",2019,9.086,"Coal"
"Dundee City",2019,0.157,"Coal"
"Na h-Eileanan Siar",2019,22.925,"Gas"
"Dundee City",2019,37.003,"Bioenergy & Wastes"
"West Dunbartonshire",2019,0.169,"Coal"
"West Lothian",2019,1657.624,"Petroleum Products"
"Na h-Eileanan Siar",2019,3.17,"Manufactured Fuels"
"South Lanarkshire",2020,2469.594,"Petroleum Products"
"Inverclyde",2020,282.443,"Electricity"
"Perth and Kinross",2020,136.139,"Bioenergy & Wastes"
"South Lanarkshire",2020,193.589,"Bioenergy & Wastes"
"Midlothian",2020,691.329,"Gas"
"Midlothian",2020,8.262,"Coal"
"Perth and Kinross",2020,12.883,"Coal"
"South Lanarkshire",2020,13.732,"Manufactured Fuels"
"Midlothian",2020,333.193,"Electricity"
"Midlothian",2020,529.267,"Petroleum Products"
"Midlothian",2020,69.413,"Bioenergy & Wastes"
"South Ayrshire",2020,430.488,"Electricity"
"Glasgow City",2020,148.261,"Bioenergy & Wastes"
"Moray",2020,6.274,"Manufactured Fuels"
"Moray",2020,913.691,"Petroleum Products"
"Glasgow City",2020,5257.396,"Gas"
"West Lothian",2020,86.548,"Bioenergy & Wastes"
"South Ayrshire",2020,1301.429,"Gas"
"Moray",2020,14.844,"Coal"
"South Lanarkshire",2020,1081.584,"Electricity"
"Perth and Kinross",2020,1036.853,"Gas"
"Perth and Kinross",2020,673.185,"Electricity"
"Moray",2020,1738.007,"Gas"
"Glasgow City",2020,2655.339,"Petroleum Products"
"South Ayrshire",2020,53.623,"Bioenergy & Wastes"
"South Lanarkshire",2020,12.105,"Coal"
"West Lothian",2020,8.16,"Manufactured Fuels"
"Dundee City",2020,1700.081,"Gas"
"Na h-Eileanan Siar",2020,3.052,"Manufactured Fuels"
"East Renfrewshire",2020,35.96,"Bioenergy & Wastes"
"Argyll and Bute",2020,971.611,"Petroleum Products"
"East Ayrshire",2020,1079.673,"Gas"
"Angus",2020,5.598,"Manufactured Fuels"
"Na h-Eileanan Siar",2020,49.428,"Bioenergy & Wastes"
"Argyll and Bute",2020,465.02,"Gas"
"Na h-Eileanan Siar",2020,9.098,"Coal"
"East Ayrshire",2020,338.678,"Bioenergy & Wastes"
"Na h-Eileanan Siar",2020,342.503,"Petroleum Products"
"East Renfrewshire",2020,2.229,"Manufactured Fuels"
"Angus",2020,491.093,"Electricity"
"Perth and Kinross",2020,8.47,"Manufactured Fuels"
"City of Edinburgh",2020,2031.651,"Electricity"
"East Ayrshire",2020,38.627,"Coal"
"City of Edinburgh",2020,190.418,"Bioenergy & Wastes"
"East Ayrshire",2020,394.22,"Electricity"
"City of Edinburgh",2020,4677.436,"Gas"
"Angus",2020,1043.882,"Petroleum Products"
"East Renfrewshire",2020,0.742,"Coal"
"Fife",2020,170.671,"Bioenergy & Wastes"
"Inverclyde",2020,1.666,"Manufactured Fuels"
"Stirling",2020,747.472,"Bioenergy & Wastes"
"Fife",2020,1442.939,"Electricity"
"Inverclyde",2020,364.609,"Petroleum Products"
"Inverclyde",2020,0.463,"Coal"
"Aberdeen City",2020,147.599,"Bioenergy & Wastes"
"East Dunbartonshire",2020,2.148,"Manufactured Fuels"
"Highland",2020,1144.31,"Gas"
"East Dunbartonshire",2020,1.992,"Coal"
"East Dunbartonshire",2020,936.32,"Gas"
"Stirling",2020,947.392,"Petroleum Products"
"Fife",2020,6800.05,"Petroleum Products"
"Stirling",2020,426.794,"Electricity"
"Highland",2020,54.704,"Coal"
"Clackmannanshire",2020,243.695,"Petroleum Products"
"Clackmannanshire",2020,296.505,"Electricity"
"Stirling",2020,1217.572,"Gas"
"South Lanarkshire",2020,2547.771,"Gas"
"Inverclyde",2020,25.258,"Bioenergy & Wastes"
"Inverclyde",2020,794.634,"Gas"
"Clackmannanshire",2020,1130,"Gas"
"Fife",2020,10.307,"Coal"
"South Ayrshire",2020,6.074,"Manufactured Fuels"
"Moray",2020,461.918,"Electricity"
"South Ayrshire",2020,909.875,"Petroleum Products"
"Clackmannanshire",2020,3.166,"Manufactured Fuels"
"Aberdeen City",2020,2351.605,"Gas"
"Shetland Islands",2020,5.881,"Coal"
"Perth and Kinross",2020,2083.51,"Petroleum Products"
"Midlothian",2020,3.302,"Manufactured Fuels"
"South Ayrshire",2020,3.001,"Coal"
"Highland",2020,3012.625,"Petroleum Products"
"East Dunbartonshire",2020,421.956,"Petroleum Products"
"Fife",2020,3450.123,"Gas"
"Highland",2020,19.535,"Manufactured Fuels"
"Aberdeen City",2020,13.291,"Manufactured Fuels"
"Clackmannanshire",2020,18.802,"Bioenergy & Wastes"
"Aberdeen City",2020,17.848,"Coal"
"Aberdeen City",2020,964.712,"Electricity"
"East Dunbartonshire",2020,323.629,"Electricity"
"Clackmannanshire",2020,0.998,"Coal"
"Stirling",2020,4.413,"Coal"
"Highland",2020,1218.534,"Bioenergy & Wastes"
"East Dunbartonshire",2020,28.211,"Bioenergy & Wastes"
"Fife",2020,29.694,"Manufactured Fuels"
"Stirling",2020,5.037,"Manufactured Fuels"
"Glasgow City",2020,3.641,"Manufactured Fuels"
"Shetland Islands",2020,328.35,"Petroleum Products"
"Shetland Islands",2020,2.508,"Manufactured Fuels"
"Orkney Islands",2020,137.259,"Electricity"
"Orkney Islands",2020,2.434,"Manufactured Fuels"
"Scottish Borders",2020,1328.756,"Petroleum Products"
"North Lanarkshire",2020,3061.071,"Gas"
"North Ayrshire",2020,2.502,"Coal"
"West Lothian",2020,735.218,"Electricity"
"North Lanarkshire",2020,3.283,"Coal"
"West Lothian",2020,1347.124,"Petroleum Products"
"Dundee City",2020,565.028,"Electricity"
"Dumfries and Galloway",2020,246.491,"Bioenergy & Wastes"
"Dumfries and Galloway",2020,23.173,"Manufactured Fuels"
"Aberdeenshire",2020,215.201,"Bioenergy & Wastes"
"Na h-Eileanan Siar",2020,147.854,"Electricity"
"Argyll and Bute",2020,125.777,"Bioenergy & Wastes"
"Scottish Borders",2020,519.01,"Electricity"
"Orkney Islands",2020,323.5,"Petroleum Products"
"West Dunbartonshire",2020,448.095,"Petroleum Products"
"North Lanarkshire",2020,1260.8,"Electricity"
"North Lanarkshire",2020,28.925,"Manufactured Fuels"
"West Dunbartonshire",2020,322.332,"Electricity"
"Scottish Borders",2020,43.992,"Coal"
"West Dunbartonshire",2020,0.163,"Coal"
"West Dunbartonshire",2020,761.931,"Gas"
"Shetland Islands",2020,31.296,"Bioenergy & Wastes"
"Moray",2020,150.02,"Bioenergy & Wastes"
"Scottish Borders",2020,802.864,"Gas"
"Scottish Borders",2020,7.352,"Manufactured Fuels"
"Orkney Islands",2020,20.261,"Bioenergy & Wastes"
"Shetland Islands",2020,0,"Gas"
"North Ayrshire",2020,596.79,"Electricity"
"Orkney Islands",2020,5.208,"Coal"
"Glasgow City",2020,2437.692,"Electricity"
"West Dunbartonshire",2020,24.742,"Bioenergy & Wastes"
"North Ayrshire",2020,655.809,"Petroleum Products"
"West Lothian",2020,1798.286,"Gas"
"North Ayrshire",2020,3.798,"Manufactured Fuels"
"Scottish Borders",2020,280.169,"Bioenergy & Wastes"
"West Lothian",2020,2.487,"Coal"
"West Dunbartonshire",2020,0.633,"Manufactured Fuels"
"North Ayrshire",2020,2239.602,"Gas"
"Shetland Islands",2020,176.359,"Electricity"
"North Lanarkshire",2020,176.925,"Bioenergy & Wastes"
"Glasgow City",2020,0.971,"Coal"
"North Ayrshire",2020,1414.786,"Bioenergy & Wastes"
"Orkney Islands",2020,0,"Gas"
"North Lanarkshire",2020,2689.436,"Petroleum Products"
"Falkirk",2020,1327.393,"Gas"
"Falkirk",2020,35.112,"Manufactured Fuels"
"Renfrewshire",2020,61.592,"Bioenergy & Wastes"
"Angus",2020,8.673,"Coal"
"Angus",2020,962.952,"Gas"
"City of Edinburgh",2020,14.122,"Coal"
"East Lothian",2020,454.057,"Electricity"
"Dumfries and Galloway",2020,1191.305,"Gas"
"Aberdeenshire",2020,3171.179,"Petroleum Products"
"Aberdeenshire",2020,30.999,"Coal"
"Aberdeenshire",2020,25.41,"Manufactured Fuels"
"Aberdeenshire",2020,1473.513,"Gas"
"Falkirk",2020,72.716,"Bioenergy & Wastes"
"Dumfries and Galloway",2020,30.486,"Coal"
"Dumfries and Galloway",2020,2519.965,"Petroleum Products"
"East Lothian",2020,325.701,"Coal"
"Renfrewshire",2020,1612.344,"Gas"
"Renfrewshire",2020,681.148,"Electricity"
"Renfrewshire",2020,1.776,"Manufactured Fuels"
"East Lothian",2020,773.129,"Petroleum Products"
"Renfrewshire",2020,1098.563,"Petroleum Products"
"Renfrewshire",2020,0.725,"Coal"
"East Lothian",2020,839.84,"Gas"
"East Lothian",2020,292.498,"Bioenergy & Wastes"
"East Renfrewshire",2020,788.622,"Gas"
"East Renfrewshire",2020,499.469,"Petroleum Products"
"East Ayrshire",2020,912.147,"Petroleum Products"
"City of Edinburgh",2020,2260.408,"Petroleum Products"
"Angus",2020,86.921,"Bioenergy & Wastes"
"East Lothian",2020,5.926,"Manufactured Fuels"
"City of Edinburgh",2020,4.151,"Manufactured Fuels"
"East Renfrewshire",2020,223.629,"Electricity"
"Argyll and Bute",2020,22.432,"Coal"
"Dundee City",2020,0.821,"Manufactured Fuels"
"Argyll and Bute",2020,480.22,"Electricity"
"Dundee City",2020,653.076,"Petroleum Products"
"Dundee City",2020,35.579,"Bioenergy & Wastes"
"Argyll and Bute",2020,6.833,"Manufactured Fuels"
"East Ayrshire",2020,6.278,"Manufactured Fuels"
"Aberdeen City",2020,1286.645,"Petroleum Products"
"Falkirk",2020,13299.174,"Petroleum Products"
"Falkirk",2020,2.317,"Coal"
"Na h-Eileanan Siar",2020,24.743,"Gas"
"Dundee City",2020,0.159,"Coal"
"Falkirk",2020,628.864,"Electricity"
"Highland",2020,1397.66,"Electricity"
"Aberdeenshire",2020,1198.448,"Electricity"
"Dumfries and Galloway",2020,806.587,"Electricity"
"Highland",2017,75.617,"Coal"
"Stirling",2017,6.002,"Coal"
"Stirling",2017,762.819,"Bioenergy & Wastes"
"North Ayrshire",2017,816.25,"Petroleum Products"
"Scottish Borders",2017,1610.767,"Petroleum Products"
"Stirling",2017,459.605,"Electricity"
"Highland",2017,1160.549,"Bioenergy & Wastes"
"Highland",2017,1583.01,"Electricity"
"Aberdeen City",2017,1127.557,"Electricity"
"Na h-Eileanan Siar",2017,157.546,"Electricity"
"Argyll and Bute",2017,6.724,"Manufactured Fuels"
"Scottish Borders",2017,168.037,"Bioenergy & Wastes"
"Midlothian",2017,350.704,"Electricity"
"Midlothian",2017,3.172,"Manufactured Fuels"
"Na h-Eileanan Siar",2017,13.304,"Coal"
"Na h-Eileanan Siar",2017,22.708,"Gas"
"Highland",2017,19.19,"Manufactured Fuels"
"Moray",2017,88.549,"Bioenergy & Wastes"
"Inverclyde",2017,671.238,"Gas"
"Scottish Borders",2017,7.255,"Manufactured Fuels"
"Inverclyde",2017,16.651,"Bioenergy & Wastes"
"Inverclyde",2017,1.523,"Manufactured Fuels"
"South Lanarkshire",2017,3116.837,"Petroleum Products"
"North Ayrshire",2017,2205.087,"Gas"
"Stirling",2017,4.802,"Manufactured Fuels"
"Stirling",2017,1226.451,"Gas"
"Inverclyde",2017,458.879,"Petroleum Products"
"Stirling",2017,1222.605,"Petroleum Products"
"North Ayrshire",2017,1543.833,"Bioenergy & Wastes"
"South Ayrshire",2017,5.589,"Manufactured Fuels"
"South Ayrshire",2017,35.522,"Bioenergy & Wastes"
"Na h-Eileanan Siar",2017,3.048,"Manufactured Fuels"
"Shetland Islands",2017,2.457,"Manufactured Fuels"
"Na h-Eileanan Siar",2017,377.53,"Petroleum Products"
"South Ayrshire",2017,4.517,"Coal"
"South Lanarkshire",2017,2488.123,"Gas"
"South Lanarkshire",2017,12.339,"Manufactured Fuels"
"Argyll and Bute",2017,35.129,"Coal"
"Argyll and Bute",2017,465.108,"Gas"
"Argyll and Bute",2017,1180.712,"Petroleum Products"
"Midlothian",2017,681.891,"Gas"
"Moray",2017,1810.515,"Gas"
"East Renfrewshire",2017,632.451,"Petroleum Products"
"Orkney Islands",2017,0,"Gas"
"City of Edinburgh",2017,118.711,"Bioenergy & Wastes"
"East Renfrewshire",2017,0.847,"Coal"
"City of Edinburgh",2017,4.097,"Manufactured Fuels"
"East Renfrewshire",2017,235.669,"Electricity"
"Moray",2017,951.803,"Petroleum Products"
"East Renfrewshire",2017,23.237,"Bioenergy & Wastes"
"Shetland Islands",2017,0,"Gas"
"East Renfrewshire",2017,2.087,"Manufactured Fuels"
"Moray",2017,494.608,"Electricity"
"City of Edinburgh",2017,20.786,"Coal"
"Renfrewshire",2017,772.197,"Electricity"
"Renfrewshire",2017,0.824,"Coal"
"City of Edinburgh",2017,4713.585,"Gas"
"Moray",2017,24.307,"Coal"
"City of Edinburgh",2017,3028.715,"Petroleum Products"
"East Renfrewshire",2017,758.067,"Gas"
"City of Edinburgh",2017,2333.823,"Electricity"
"Moray",2017,6.171,"Manufactured Fuels"
"Orkney Islands",2017,2.424,"Manufactured Fuels"
"South Ayrshire",2017,1154.786,"Petroleum Products"
"Orkney Islands",2017,138.948,"Electricity"
"Orkney Islands",2017,7.388,"Coal"
"Renfrewshire",2017,1354.442,"Petroleum Products"
"East Lothian",2017,486.305,"Electricity"
"Orkney Islands",2017,349.996,"Petroleum Products"
"East Lothian",2017,965.57,"Petroleum Products"
"East Lothian",2017,770.827,"Gas"
"Aberdeenshire",2017,1411.446,"Gas"
"South Lanarkshire",2017,17.163,"Coal"
"Falkirk",2017,629.469,"Manufactured Fuels"
"Aberdeenshire",2017,3765.037,"Petroleum Products"
"Inverclyde",2017,0.549,"Coal"
"Midlothian",2017,12.046,"Coal"
"Aberdeen City",2017,97.017,"Bioenergy & Wastes"
"Aberdeenshire",2017,137.447,"Bioenergy & Wastes"
"South Lanarkshire",2017,114.366,"Bioenergy & Wastes"
"Falkirk",2017,1373.258,"Gas"
"Aberdeenshire",2017,45.658,"Coal"
"Aberdeen City",2017,2363.251,"Gas"
"Shetland Islands",2017,367.585,"Petroleum Products"
"Falkirk",2017,15283.293,"Petroleum Products"
"Falkirk",2017,45.228,"Bioenergy & Wastes"
"Highland",2017,3554.526,"Petroleum Products"
"Scottish Borders",2017,812.358,"Gas"
"Scottish Borders",2017,67.419,"Coal"
"Orkney Islands",2017,13.444,"Bioenergy & Wastes"
"Shetland Islands",2017,8.127,"Coal"
"Renfrewshire",2017,37.047,"Bioenergy & Wastes"
"Shetland Islands",2017,19.758,"Bioenergy & Wastes"
"South Lanarkshire",2017,1176.433,"Electricity"
"Inverclyde",2017,313.958,"Electricity"
"Aberdeen City",2017,25.554,"Coal"
"Aberdeen City",2017,11.34,"Manufactured Fuels"
"Aberdeen City",2017,1468.104,"Petroleum Products"
"Highland",2017,1163.214,"Gas"
"North Ayrshire",2017,4.048,"Coal"
"Fife",2017,26.139,"Manufactured Fuels"
"Fife",2017,3476.165,"Gas"
"Clackmannanshire",2017,2.808,"Manufactured Fuels"
"East Dunbartonshire",2017,18.451,"Bioenergy & Wastes"
"East Ayrshire",2017,6.134,"Manufactured Fuels"
"Dumfries and Galloway",2017,19.692,"Manufactured Fuels"
"East Dunbartonshire",2017,515.75,"Petroleum Products"
"East Dunbartonshire",2017,345.149,"Electricity"
"East Ayrshire",2017,1112.434,"Petroleum Products"
"North Lanarkshire",2017,3173.912,"Petroleum Products"
"East Dunbartonshire",2017,3.468,"Coal"
"Clackmannanshire",2017,308.395,"Electricity"
"East Dunbartonshire",2017,2.058,"Manufactured Fuels"
"Dundee City",2017,649.891,"Electricity"
"Dumfries and Galloway",2017,43.734,"Coal"
"Dundee City",2017,22.394,"Bioenergy & Wastes"
"Dumfries and Galloway",2017,875.181,"Electricity"
"Dumfries and Galloway",2017,3088.237,"Petroleum Products"
"Dundee City",2017,819.905,"Petroleum Products"
"Dumfries and Galloway",2017,1207.458,"Gas"
"North Lanarkshire",2017,3.829,"Coal"
"West Dunbartonshire",2017,0.184,"Coal"
"West Lothian",2017,7.281,"Manufactured Fuels"
"Glasgow City",2017,3461.336,"Petroleum Products"
"East Lothian",2017,169.79,"Bioenergy & Wastes"
"Renfrewshire",2017,1.678,"Manufactured Fuels"
"West Dunbartonshire",2017,0.567,"Manufactured Fuels"
"North Lanarkshire",2017,24.362,"Manufactured Fuels"
"North Lanarkshire",2017,2910.874,"Gas"
"Glasgow City",2017,5145.129,"Gas"
"East Lothian",2017,580.396,"Coal"
"Angus",2017,12.266,"Coal"
"West Lothian",2017,1680.635,"Petroleum Products"
"West Lothian",2017,1868.455,"Gas"
"West Dunbartonshire",2017,15.706,"Bioenergy & Wastes"
"West Dunbartonshire",2017,572.977,"Petroleum Products"
"Clackmannanshire",2017,12.558,"Bioenergy & Wastes"
"Clackmannanshire",2017,301.893,"Petroleum Products"
"Angus",2017,1289.989,"Petroleum Products"
"East Dunbartonshire",2017,927.451,"Gas"
"East Lothian",2017,5.516,"Manufactured Fuels"
"Renfrewshire",2017,1602.374,"Gas"
"Glasgow City",2017,1.111,"Coal"
"West Lothian",2017,826.683,"Electricity"
"Glasgow City",2017,3.278,"Manufactured Fuels"
"West Dunbartonshire",2017,716.895,"Gas"
"North Lanarkshire",2017,1336.869,"Electricity"
"Glasgow City",2017,2813.237,"Electricity"
"Glasgow City",2017,90.114,"Bioenergy & Wastes"
"Angus",2017,520.237,"Electricity"
"Angus",2017,55.031,"Bioenergy & Wastes"
"Fife",2017,8372.587,"Petroleum Products"
"Shetland Islands",2017,191.785,"Electricity"
"Aberdeenshire",2017,23.382,"Manufactured Fuels"
"Midlothian",2017,660.863,"Petroleum Products"
"North Ayrshire",2017,684.227,"Electricity"
"Scottish Borders",2017,574.464,"Electricity"
"Fife",2017,13.598,"Coal"
"Angus",2017,5.449,"Manufactured Fuels"
"Perth and Kinross",2017,745.256,"Electricity"
"Falkirk",2017,705.867,"Electricity"
"North Ayrshire",2017,3.561,"Manufactured Fuels"
"South Ayrshire",2017,481.05,"Electricity"
"Aberdeenshire",2017,1248.935,"Electricity"
"Falkirk",2017,2.636,"Coal"
"Midlothian",2017,43.383,"Bioenergy & Wastes"
"South Ayrshire",2017,1282.925,"Gas"
"Na h-Eileanan Siar",2017,30.812,"Bioenergy & Wastes"
"Argyll and Bute",2017,78.88,"Bioenergy & Wastes"
"Argyll and Bute",2017,511.574,"Electricity"
"Perth and Kinross",2017,85.854,"Bioenergy & Wastes"
"East Ayrshire",2017,58.813,"Coal"
"East Ayrshire",2017,1065.842,"Gas"
"East Ayrshire",2017,267.85,"Bioenergy & Wastes"
"Dumfries and Galloway",2017,146.73,"Bioenergy & Wastes"
"Dundee City",2017,0.751,"Manufactured Fuels"
"Dundee City",2017,1445.633,"Gas"
"Dundee City",2017,0.171,"Coal"
"Angus",2017,919.08,"Gas"
"West Dunbartonshire",2017,336.922,"Electricity"
"Perth and Kinross",2017,20.709,"Coal"
"Clackmannanshire",2017,1.134,"Coal"
"Fife",2017,1561.918,"Electricity"
"Fife",2017,195.77,"Bioenergy & Wastes"
"Clackmannanshire",2017,1123.549,"Gas"
"North Lanarkshire",2017,103.501,"Bioenergy & Wastes"
"East Ayrshire",2017,435.248,"Electricity"
"West Lothian",2017,52.809,"Bioenergy & Wastes"
"Perth and Kinross",2017,1044.719,"Gas"
"Perth and Kinross",2017,8.352,"Manufactured Fuels"
"West Lothian",2017,3.783,"Coal"
"Perth and Kinross",2017,2704.176,"Petroleum Products"
"Orkney Islands",2018,0,"Gas"
"East Ayrshire",2018,315.246,"Bioenergy & Wastes"
"East Renfrewshire",2018,630.94,"Petroleum Products"
"City of Edinburgh",2018,157.114,"Bioenergy & Wastes"
"Angus",2018,71.366,"Bioenergy & Wastes"
"Stirling",2018,1216.297,"Gas"
"Perth and Kinross",2018,1033.115,"Gas"
"East Ayrshire",2018,424.158,"Electricity"
"Moray",2018,6.365,"Manufactured Fuels"
"East Renfrewshire",2018,0.829,"Coal"
"Perth and Kinross",2018,8.61,"Manufactured Fuels"
"City of Edinburgh",2018,4.213,"Manufactured Fuels"
"Angus",2018,5.631,"Manufactured Fuels"
"South Ayrshire",2018,45.46,"Bioenergy & Wastes"
"Glasgow City",2018,2738.381,"Electricity"
"Stirling",2018,1247.599,"Petroleum Products"
"Angus",2018,527.644,"Electricity"
"North Lanarkshire",2018,144.514,"Bioenergy & Wastes"
"Scottish Borders",2018,559.141,"Electricity"
"South Ayrshire",2018,5.75,"Manufactured Fuels"
"Na h-Eileanan Siar",2018,381.817,"Petroleum Products"
"Clackmannanshire",2018,300.012,"Electricity"
"Moray",2018,60.93,"Bioenergy & Wastes"
"Argyll and Bute",2018,6.921,"Manufactured Fuels"
"South Ayrshire",2018,4.489,"Coal"
"Inverclyde",2018,21.018,"Bioenergy & Wastes"
"Fife",2018,192.186,"Bioenergy & Wastes"
"Fife",2018,1510.249,"Electricity"
"Orkney Islands",2018,351.802,"Petroleum Products"
"East Renfrewshire",2018,767.748,"Gas"
"Shetland Islands",2018,2.527,"Manufactured Fuels"
"East Ayrshire",2018,6.335,"Manufactured Fuels"
"Angus",2018,1271.958,"Petroleum Products"
"Clackmannanshire",2018,1134.666,"Gas"
"Scottish Borders",2018,222.319,"Bioenergy & Wastes"
"Renfrewshire",2018,754.497,"Electricity"
"Na h-Eileanan Siar",2018,152.195,"Electricity"
"East Ayrshire",2018,55.141,"Coal"
"City of Edinburgh",2018,19.588,"Coal"
"West Dunbartonshire",2018,324.465,"Electricity"
"East Ayrshire",2018,1055.234,"Gas"
"Argyll and Bute",2018,464.834,"Gas"
"Moray",2018,1880.513,"Gas"
"Midlothian",2018,346.235,"Electricity"
"Dundee City",2018,0.786,"Manufactured Fuels"
"Shetland Islands",2018,0,"Gas"
"Argyll and Bute",2018,505.983,"Electricity"
"Midlothian",2018,3.287,"Manufactured Fuels"
"South Ayrshire",2018,1153.369,"Gas"
"East Ayrshire",2018,1113.124,"Petroleum Products"
"West Lothian",2018,799.411,"Electricity"
"Midlothian",2018,676.535,"Gas"
"Midlothian",2018,56.3,"Bioenergy & Wastes"
"Renfrewshire",2018,0.809,"Coal"
"Aberdeenshire",2018,23.845,"Manufactured Fuels"
"Dundee City",2018,817.066,"Petroleum Products"
"Falkirk",2018,2.597,"Coal"
"Perth and Kinross",2018,19.343,"Coal"
"Na h-Eileanan Siar",2018,23.632,"Gas"
"Shetland Islands",2018,369.268,"Petroleum Products"
"Argyll and Bute",2018,102.503,"Bioenergy & Wastes"
"Fife",2018,13.142,"Coal"
"Na h-Eileanan Siar",2018,3.135,"Manufactured Fuels"
"Glasgow City",2018,121.641,"Bioenergy & Wastes"
"Moray",2018,22.46,"Coal"
"Dumfries and Galloway",2018,20.213,"Manufactured Fuels"
"South Ayrshire",2018,472.6,"Electricity"
"East Lothian",2018,5.681,"Manufactured Fuels"
"Perth and Kinross",2018,2654.783,"Petroleum Products"
"City of Edinburgh",2018,4659.852,"Gas"
"South Ayrshire",2018,1113.376,"Petroleum Products"
"Argyll and Bute",2018,32.984,"Coal"
"Inverclyde",2018,450.2,"Petroleum Products"
"Aberdeenshire",2018,1217.029,"Electricity"
"Dumfries and Galloway",2018,41.448,"Coal"
"Orkney Islands",2018,2.494,"Manufactured Fuels"
"North Lanarkshire",2018,2950.668,"Gas"
"Dundee City",2018,633.263,"Electricity"
"Na h-Eileanan Siar",2018,39.75,"Bioenergy & Wastes"
"Shetland Islands",2018,183.567,"Electricity"
"Dumfries and Galloway",2018,195.134,"Bioenergy & Wastes"
"Midlothian",2018,656.46,"Petroleum Products"
"East Lothian",2018,976.734,"Petroleum Products"
"Dumfries and Galloway",2018,1188.441,"Gas"
"East Lothian",2018,503.185,"Coal"
"East Renfrewshire",2018,225.717,"Electricity"
"Orkney Islands",2018,16.813,"Bioenergy & Wastes"
"Dundee City",2018,0.168,"Coal"
"Aberdeenshire",2018,43.254,"Coal"
"Angus",2018,917.552,"Gas"
"West Dunbartonshire",2018,0.587,"Manufactured Fuels"
"East Renfrewshire",2018,2.174,"Manufactured Fuels"
"Moray",2018,485.632,"Electricity"
"Stirling",2018,462.278,"Electricity"
"West Dunbartonshire",2018,0.182,"Coal"
"North Lanarkshire",2018,3.732,"Coal"
"Dundee City",2018,1425.532,"Gas"
"Inverclyde",2018,641.769,"Gas"
"Inverclyde",2018,301.368,"Electricity"
"East Lothian",2018,767.889,"Gas"
"Shetland Islands",2018,25.349,"Bioenergy & Wastes"
"Orkney Islands",2018,137.649,"Electricity"
"Na h-Eileanan Siar",2018,12.595,"Coal"
"West Lothian",2018,3.557,"Coal"
"Scottish Borders",2018,7.469,"Manufactured Fuels"
"Falkirk",2018,60.151,"Bioenergy & Wastes"
"Moray",2018,961.476,"Petroleum Products"
"Midlothian",2018,11.473,"Coal"
"North Lanarkshire",2018,1313.585,"Electricity"
"Aberdeenshire",2018,1419.351,"Gas"
"North Ayrshire",2018,1386.68,"Bioenergy & Wastes"
"North Ayrshire",2018,2209.358,"Gas"
"Highland",2018,1179.983,"Bioenergy & Wastes"
"Glasgow City",2018,3439.363,"Petroleum Products"
"Glasgow City",2018,1.087,"Coal"
"Fife",2018,6943.794,"Petroleum Products"
"Dundee City",2018,29.389,"Bioenergy & Wastes"
"Falkirk",2018,683.387,"Electricity"
"West Dunbartonshire",2018,20.692,"Bioenergy & Wastes"
"Orkney Islands",2018,7.137,"Coal"
"Perth and Kinross",2018,729.18,"Electricity"
"Aberdeenshire",2018,174.604,"Bioenergy & Wastes"
"Perth and Kinross",2018,113.953,"Bioenergy & Wastes"
"Falkirk",2018,1373.353,"Gas"
"Scottish Borders",2018,1614.522,"Petroleum Products"
"East Dunbartonshire",2018,2.128,"Manufactured Fuels"
"Aberdeenshire",2018,3672.367,"Petroleum Products"
"East Lothian",2018,289.331,"Bioenergy & Wastes"
"Glasgow City",2018,3.348,"Manufactured Fuels"
"South Lanarkshire",2018,154.337,"Bioenergy & Wastes"
"South Lanarkshire",2018,16.279,"Coal"
"Angus",2018,11.654,"Coal"
"East Renfrewshire",2018,30.118,"Bioenergy & Wastes"
"Dumfries and Galloway",2018,849.401,"Electricity"
"City of Edinburgh",2018,2968.567,"Petroleum Products"
"Inverclyde",2018,1.581,"Manufactured Fuels"
"South Lanarkshire",2018,12.456,"Manufactured Fuels"
"City of Edinburgh",2018,2285.755,"Electricity"
"North Ayrshire",2018,3.687,"Manufactured Fuels"
"Stirling",2018,5.73,"Coal"
"Falkirk",2018,15226.518,"Petroleum Products"
"Highland",2018,3576.608,"Petroleum Products"
"Dumfries and Galloway",2018,3018.986,"Petroleum Products"
"East Dunbartonshire",2018,3.197,"Coal"
"Inverclyde",2018,0.536,"Coal"
"East Dunbartonshire",2018,516.002,"Petroleum Products"
"Falkirk",2018,744.133,"Manufactured Fuels"
"Renfrewshire",2018,49.909,"Bioenergy & Wastes"
"Aberdeen City",2018,2324.299,"Gas"
"Scottish Borders",2018,789.772,"Gas"
"North Ayrshire",2018,656.646,"Electricity"
