"","FeatureName","DateCode","Value","Energy.Type","Energy.Consuming.Sector"
"114","East Lothian",2015,884.736,"Petroleum Products","All"
"115","Aberdeenshire",2015,6393.962,"All","All"
"116","Dundee City",2015,2960.449,"All","All"
"117","Dundee City",2015,22.251,"Bioenergy & Wastes","All"
"118","Scottish Borders",2015,1572.882,"Petroleum Products","All"
"119","North Ayrshire",2015,5251.586,"All","All"
"120","Dumfries and Galloway",2015,5161.551,"All","All"
"121","Angus",2015,1252.289,"Petroleum Products","All"
"122","Na h-Eileanan Siar",2015,2.827,"Manufactured Fuels","All"
"123","Renfrewshire",2015,801.981,"Electricity","All"
"124","Dumfries and Galloway",2015,1124.248,"Gas","All"
"125","East Ayrshire",2015,5.658,"Manufactured Fuels","All"
"126","North Ayrshire",2015,714.01,"Electricity","All"
"127","Falkirk",2015,1348.307,"Gas","All"
"128","West Dunbartonshire",2015,742.978,"Gas","All"
"129","Aberdeen City",2015,2377.717,"Gas","All"
"130","Aberdeenshire",2015,116.104,"Bioenergy & Wastes","All"
"131","Falkirk",2015,2.68,"Coal","All"
"132","West Dunbartonshire",2015,578.406,"Petroleum Products","All"
"133","Aberdeenshire",2015,27.487,"Manufactured Fuels","All"
"134","Falkirk",2015,13761.496,"Petroleum Products","All"
"135","East Dunbartonshire",2015,1.942,"Manufactured Fuels","All"
"136","Na h-Eileanan Siar",2015,0,"Gas","All"
"137","Aberdeenshire",2015,1379.189,"Gas","All"
"138","Scottish Borders",2015,89.809,"Coal","All"
"139","East Ayrshire",2015,2976.015,"All","All"
"140","East Dunbartonshire",2015,889.085,"Gas","All"
"141","Renfrewshire",2015,0.879,"Coal","All"
"142","Dumfries and Galloway",2015,71.472,"Coal","All"
"143","West Dunbartonshire",2015,0.195,"Coal","All"
"144","Dundee City",2015,1409.321,"Gas","All"
"145","Na h-Eileanan Siar",2015,22.614,"Bioenergy & Wastes","All"
"146","North Ayrshire",2015,1535.145,"Bioenergy & Wastes","All"
"147","Falkirk",2015,730.313,"Electricity","All"
"148","West Dunbartonshire",2015,1695.399,"All","All"
"149","Dundee City",2015,0.681,"Manufactured Fuels","All"
"150","North Lanarkshire",2015,4.132,"Coal","All"
"151","Aberdeen City",2015,5169.643,"All","All"
"152","North Lanarkshire",2015,38.716,"Manufactured Fuels","All"
"153","West Dunbartonshire",2015,357.345,"Electricity","All"
"154","North Ayrshire",2015,3.592,"Manufactured Fuels","All"
"155","Argyll and Bute",2015,1145.193,"Petroleum Products","All"
"156","Argyll and Bute",2015,451.315,"Gas","All"
"157","Dundee City",2015,814.083,"Petroleum Products","All"
"158","Glasgow City",2015,3.961,"Manufactured Fuels","All"
"159","East Lothian",2015,6.205,"Manufactured Fuels","All"
"160","East Ayrshire",2015,1077.642,"Petroleum Products","All"
"161","Argyll and Bute",2015,514.659,"Electricity","All"
"162","Argyll and Bute",2015,6.448,"Manufactured Fuels","All"
"163","Na h-Eileanan Siar",2015,16.091,"Coal","All"
"164","West Dunbartonshire",2015,0.648,"Manufactured Fuels","All"
"165","Aberdeen City",2015,16.644,"Manufactured Fuels","All"
"166","Aberdeenshire",2015,1271.087,"Electricity","All"
"167","Orkney Islands",2015,141.741,"Electricity","All"
"168","Na h-Eileanan Siar",2015,584.964,"All","All"
"169","Argyll and Bute",2015,2213.05,"All","All"
"170","West Dunbartonshire",2015,15.828,"Bioenergy & Wastes","All"
"171","Dumfries and Galloway",2015,30.184,"Manufactured Fuels","All"
"172","East Dunbartonshire",2015,360.717,"Electricity","All"
"173","Angus",2015,922.761,"Gas","All"
"174","Perth and Kinross",2015,4414.62,"All","All"
"175","South Lanarkshire",2015,15.4,"Manufactured Fuels","All"
"176","West Lothian",2015,4228.478,"All","All"
"177","Perth and Kinross",2015,12.977,"Coal","All"
"178","South Lanarkshire",2015,2444.086,"Gas","All"
"179","Midlothian",2015,1673.592,"All","All"
"180","Midlothian",2015,15.593,"Coal","All"
"181","West Lothian",2015,1681.385,"Gas","All"
"182","South Lanarkshire",2015,97.37,"Bioenergy & Wastes","All"
"183","Perth and Kinross",2015,747.98,"Electricity","All"
"184","Perth and Kinross",2015,76.933,"Bioenergy & Wastes","All"
"185","South Lanarkshire",2015,2922.693,"Petroleum Products","All"
"186","Shetland Islands",2015,2.434,"Manufactured Fuels","All"
"187","Glasgow City",2015,3008.719,"Electricity","All"
"188","West Lothian",2015,869.887,"Electricity","All"
"189","Moray",2015,3384.779,"All","All"
"190","Stirling",2015,622.848,"Bioenergy & Wastes","All"
"191","Angus",2015,541.506,"Electricity","All"
"192","East Renfrewshire",2015,0.866,"Coal","All"
"193","Scottish Borders",2015,3128.691,"All","All"
"194","Aberdeenshire",2015,50.79,"Coal","All"
"195","Clackmannanshire",2015,311.865,"Electricity","All"
"196","Aberdeenshire",2015,3549.305,"Petroleum Products","All"
"197","Falkirk",2015,669.339,"Manufactured Fuels","All"
"198","Falkirk",2015,43.303,"Bioenergy & Wastes","All"
"199","Dundee City",2015,713.933,"Electricity","All"
"200","Dundee City",2015,0.18,"Coal","All"
"201","Orkney Islands",2015,2.246,"Manufactured Fuels","All"
"202","Aberdeen City",2015,1430.167,"Petroleum Products","All"
"203","Na h-Eileanan Siar",2015,154.676,"Electricity","All"
"204","Falkirk",2015,16555.439,"All","All"
"205","Dumfries and Galloway",2015,904.78,"Electricity","All"
"206","East Dunbartonshire",2015,507.361,"Petroleum Products","All"
"207","North Lanarkshire",2015,1400.028,"Electricity","All"
"208","Orkney Islands",2015,500.994,"All","All"
"209","Argyll and Bute",2015,58.9,"Bioenergy & Wastes","All"
"210","Scottish Borders",2015,754.469,"Gas","All"
"211","Argyll and Bute",2015,36.535,"Coal","All"
"212","Dumfries and Galloway",2015,2916.638,"Petroleum Products","All"
"213","City of Edinburgh",2015,104.493,"Bioenergy & Wastes","All"
"214","South Lanarkshire",2015,6769.363,"All","All"
"215","East Renfrewshire",2015,737.86,"Gas","All"
"216","Renfrewshire",2015,1549.877,"Gas","All"
"217","North Ayrshire",2015,802.727,"Petroleum Products","All"
"218","Aberdeen City",2015,77.415,"Bioenergy & Wastes","All"
"219","Dumfries and Galloway",2015,114.23,"Bioenergy & Wastes","All"
"220","Highland",2015,7429.625,"All","All"
"221","North Lanarkshire",2015,7562.218,"All","All"
"222","Scottish Borders",2015,116.022,"Bioenergy & Wastes","All"
"223","East Dunbartonshire",2015,1.391,"Coal","All"
"224","North Ayrshire",2015,2193.134,"Gas","All"
"225","Falkirk",2016,707.139,"Electricity","All"
"226","North Ayrshire",2016,2247.564,"Gas","All"
"227","West Dunbartonshire",2016,714.864,"Gas","All"
"228","Dundee City",2016,0.193,"Coal","All"
"229","North Lanarkshire",2016,1337.146,"Electricity","All"
"230","Aberdeenshire",2016,1398.072,"Gas","All"
"231","Glasgow City",2016,3428.281,"Petroleum Products","All"
"232","Midlothian",2016,36.248,"Bioenergy & Wastes","All"
"233","Shetland Islands",2016,8.664,"Coal","All"
"234","Perth and Kinross",2016,20.463,"Coal","All"
"235","South Lanarkshire",2016,10.31,"Manufactured Fuels","All"
"236","Scottish Borders",2016,1565.669,"Petroleum Products","All"
"237","Aberdeen City",2016,5019.812,"All","All"
"238","Aberdeen City",2016,2323.112,"Gas","All"
"239","Scottish Borders",2016,6.546,"Manufactured Fuels","All"
"240","Aberdeenshire",2016,3711.475,"Petroleum Products","All"
"241","Falkirk",2016,17550.241,"All","All"
"242","East Dunbartonshire",2016,1.849,"Manufactured Fuels","All"
"243","North Lanarkshire",2016,18.962,"Manufactured Fuels","All"
"244","Aberdeenshire",2016,46.489,"Coal","All"
"245","Aberdeenshire",2016,6531.55,"All","All"
"246","East Dunbartonshire",2016,509.247,"Petroleum Products","All"
"247","Dumfries and Galloway",2016,869.409,"Electricity","All"
"248","South Ayrshire",2016,4.817,"Manufactured Fuels","All"
"249","South Ayrshire",2016,5.412,"Coal","All"
"250","West Lothian",2016,52.051,"Bioenergy & Wastes","All"
"251","Perth and Kinross",2016,1003.398,"Gas","All"
"252","South Ayrshire",2016,34.779,"Bioenergy & Wastes","All"
"253","South Lanarkshire",2016,2418.812,"Gas","All"
