"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-4.625
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-11.55
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-10.1666666666667
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",10.475
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-20.925
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-1.2
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",0.7
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",2.025
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.225
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.15
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.525
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-14.7
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.825
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",7.925
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.35
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-6.3
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",8.525
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-7.325
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.3
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-9.025
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",1.025
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-3.2
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.6
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",5.025
"S12000039","West Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-2.225
"S12000040","West Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-24 years",-0.825
"S12000033","Aberdeen City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",19.675
"S12000034","Aberdeenshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",19.2333333333333
"S12000041","Angus","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-1.025
"S12000035","Argyll and Bute","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-4.15
"S12000036","City of Edinburgh","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",6.925
"S12000005","Clackmannanshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",5
"S12000006","Dumfries and Galloway","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",10.075
"S12000042","Dundee City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-5.275
"S12000008","East Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",5.75
"S12000045","East Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.175
"S12000010","East Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",0.35
"S12000011","East Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-4.9
"S12000014","Falkirk","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-0.0249999999999999
"S12000047","Fife","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",7.875
"S12000049","Glasgow City","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",12.875
"S12000017","Highland","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.175
"S12000018","Inverclyde","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",9.5
"S12000019","Midlothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",2.05
"S12000020","Moray","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",14.775
"S12000013","Na h-Eileanan Siar","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-10.075
"S12000021","North Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",16.025
"S12000050","North Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.1
"S12000048","Perth and Kinross","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",4.8
"S12000038","Renfrewshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",11.75
"S12000026","Scottish Borders","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",3.8
"S12000028","South Ayrshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-2.2
"S12000029","South Lanarkshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-6.325
"S12000030","Stirling","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-1.5
"S12000039","West Dunbartonshire","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",-8.75
"S12000040","West Lothian","Council Area","2018","Percentage Points","Percentage Points Difference","16-24 years",2.625
"S12000033","Aberdeen City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",13.45
"S12000034","Aberdeenshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-13.075
"S12000041","Angus","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",5.55
"S12000035","Argyll and Bute","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",10.55
"S12000036","City of Edinburgh","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",13.5
"S12000005","Clackmannanshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-10.45
"S12000006","Dumfries and Galloway","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-0.575
"S12000042","Dundee City","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-12.425
"S12000008","East Ayrshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-8.525
"S12000045","East Dunbartonshire","Council Area","2019","Percentage Points","Percentage Points Difference","16-24 years",-5.525
