"","FeatureName","DateCode","Age","Value"
"127","Clackmannanshire",2019,"16-24 years",-10.45
"128","Dumfries and Galloway",2019,"16-24 years",-0.575
"129","Dundee City",2019,"16-24 years",-12.425
"130","East Ayrshire",2019,"16-24 years",-8.525
"131","East Dunbartonshire",2019,"16-24 years",-5.525
"132","East Lothian",2019,"16-24 years",0.925
"133","East Renfrewshire",2019,"16-24 years",-0.6
"134","Falkirk",2019,"16-24 years",4.075
"135","Fife",2019,"16-24 years",10.925
"136","Glasgow City",2019,"16-24 years",-2.625
"137","Highland",2019,"16-24 years",18.1
"138","Inverclyde",2019,"16-24 years",5.825
"139","Midlothian",2019,"16-24 years",-4.7
"140","Moray",2019,"16-24 years",-3.075
"141","Na h-Eileanan Siar",2019,"16-24 years",-2.1
"142","North Ayrshire",2019,"16-24 years",7.23333333333333
"143","North Lanarkshire",2019,"16-24 years",-13.725
"144","Orkney Islands",2019,"16-24 years",0
"145","Perth and Kinross",2019,"16-24 years",2.875
"146","Renfrewshire",2019,"16-24 years",-0.35
"147","Scottish Borders",2019,"16-24 years",-6.7
"148","South Ayrshire",2019,"16-24 years",-2.5
"149","South Lanarkshire",2019,"16-24 years",-7.625
"150","Stirling",2019,"16-24 years",4.875
"151","West Dunbartonshire",2019,"16-24 years",-11.3
"152","West Lothian",2019,"16-24 years",-4.975
"153","Aberdeen City",2020,"16-24 years",3.1
"154","Aberdeenshire",2020,"16-24 years",-23.1
"155","Angus",2020,"16-24 years",11.5
"156","Argyll and Bute",2020,"16-24 years",15.4
"157","City of Edinburgh",2020,"16-24 years",4.1
"158","Clackmannanshire",2020,"16-24 years",-25.3
"159","Dumfries and Galloway",2020,"16-24 years",21
"160","Dundee City",2020,"16-24 years",-16.4
"161","East Ayrshire",2020,"16-24 years",9.7
"162","East Dunbartonshire",2020,"16-24 years",-18.4
"163","East Lothian",2020,"16-24 years",14.2
"164","East Renfrewshire",2020,"16-24 years",5.5
"165","Falkirk",2020,"16-24 years",13.6
"166","Fife",2020,"16-24 years",2.9
"167","Glasgow City",2020,"16-24 years",-3.8
"168","Highland",2020,"16-24 years",1
"169","Inverclyde",2020,"16-24 years",2.3
"170","Midlothian",2020,"16-24 years",-20.7
"171","Moray",2020,"16-24 years",-3
"172","Na h-Eileanan Siar",2020,"16-24 years",-14
"173","North Ayrshire",2020,"16-24 years",16.9
"174","North Lanarkshire",2020,"16-24 years",0.5
"175","Perth and Kinross",2020,"16-24 years",-4.7
"176","Renfrewshire",2020,"16-24 years",-10.6
"177","Scottish Borders",2020,"16-24 years",-14.5
"178","South Ayrshire",2020,"16-24 years",16.4
"179","South Lanarkshire",2020,"16-24 years",2
"180","Stirling",2020,"16-24 years",11.1
"181","West Dunbartonshire",2020,"16-24 years",-9.9
"182","West Lothian",2020,"16-24 years",1.1
"183","Aberdeen City",2015,"16-64 years",0.475
"184","Aberdeenshire",2015,"16-64 years",13.2
"185","Angus",2015,"16-64 years",8.875
"186","Argyll and Bute",2015,"16-64 years",4.7
"187","City of Edinburgh",2015,"16-64 years",3.15
"188","Clackmannanshire",2015,"16-64 years",14.025
"189","Dumfries and Galloway",2015,"16-64 years",7
"190","Dundee City",2015,"16-64 years",7.95
"191","East Ayrshire",2015,"16-64 years",3.375
"192","East Dunbartonshire",2015,"16-64 years",6.3
"193","East Lothian",2015,"16-64 years",7.525
"194","East Renfrewshire",2015,"16-64 years",9.325
"195","Falkirk",2015,"16-64 years",8.15
"196","Fife",2015,"16-64 years",7.275
"197","Glasgow City",2015,"16-64 years",5.725
"198","Highland",2015,"16-64 years",11.15
"199","Inverclyde",2015,"16-64 years",2.525
"200","Midlothian",2015,"16-64 years",0.975
"201","Moray",2015,"16-64 years",11.025
"202","Na h-Eileanan Siar",2015,"16-64 years",-0.6
"203","North Ayrshire",2015,"16-64 years",9.525
"204","North Lanarkshire",2015,"16-64 years",4.25
"205","Orkney Islands",2015,"16-64 years",7.3
"206","Perth and Kinross",2015,"16-64 years",3.5
"207","Renfrewshire",2015,"16-64 years",0.85
"208","Scottish Borders",2015,"16-64 years",6.55
"209","Shetland Islands",2015,"16-64 years",12.375
"210","South Ayrshire",2015,"16-64 years",7.675
"211","South Lanarkshire",2015,"16-64 years",9.15
"212","Stirling",2015,"16-64 years",8.025
"213","West Dunbartonshire",2015,"16-64 years",3.175
"214","West Lothian",2015,"16-64 years",7.775
"215","Aberdeen City",2016,"16-64 years",3.175
"216","Aberdeenshire",2016,"16-64 years",13.8
"217","Angus",2016,"16-64 years",6.975
"218","Argyll and Bute",2016,"16-64 years",6.875
"219","City of Edinburgh",2016,"16-64 years",8.425
"220","Clackmannanshire",2016,"16-64 years",11.775
"221","Dumfries and Galloway",2016,"16-64 years",11.45
"222","Dundee City",2016,"16-64 years",-1.575
"223","East Ayrshire",2016,"16-64 years",9.4
"224","East Dunbartonshire",2016,"16-64 years",6.425
"225","East Lothian",2016,"16-64 years",9.025
"226","East Renfrewshire",2016,"16-64 years",5.375
"227","Falkirk",2016,"16-64 years",10.05
"228","Fife",2016,"16-64 years",8.55
"229","Glasgow City",2016,"16-64 years",8.125
"230","Highland",2016,"16-64 years",2.825
"231","Inverclyde",2016,"16-64 years",-0.275
"232","Midlothian",2016,"16-64 years",6.825
"233","Moray",2016,"16-64 years",10.2
"234","Na h-Eileanan Siar",2016,"16-64 years",5.3
"235","North Ayrshire",2016,"16-64 years",13.525
"236","North Lanarkshire",2016,"16-64 years",5.525
"237","Orkney Islands",2016,"16-64 years",-7.325
"238","Perth and Kinross",2016,"16-64 years",3.125
"239","Renfrewshire",2016,"16-64 years",1.925
"240","Scottish Borders",2016,"16-64 years",10.55
"241","Shetland Islands",2016,"16-64 years",0.15
"242","South Ayrshire",2016,"16-64 years",5.3
"243","South Lanarkshire",2016,"16-64 years",6.175
"244","Stirling",2016,"16-64 years",3.825
"245","West Dunbartonshire",2016,"16-64 years",5.625
"246","West Lothian",2016,"16-64 years",9.775
"247","Aberdeen City",2017,"16-64 years",6.375
"248","Aberdeenshire",2017,"16-64 years",10.9
"249","Angus",2017,"16-64 years",6.725
"250","Argyll and Bute",2017,"16-64 years",8.4
"251","City of Edinburgh",2017,"16-64 years",4.325
"252","Clackmannanshire",2017,"16-64 years",5.1
"253","Dumfries and Galloway",2017,"16-64 years",13.05
"254","Dundee City",2017,"16-64 years",-4.95
"255","East Ayrshire",2017,"16-64 years",9.05
"256","East Dunbartonshire",2017,"16-64 years",7
"257","East Lothian",2017,"16-64 years",5.5
"258","East Renfrewshire",2017,"16-64 years",10.7
"259","Falkirk",2017,"16-64 years",11.325
"260","Fife",2017,"16-64 years",11.9
"261","Glasgow City",2017,"16-64 years",7.625
"262","Highland",2017,"16-64 years",2.375
"263","Inverclyde",2017,"16-64 years",2.05
"264","Midlothian",2017,"16-64 years",6.775
"265","Moray",2017,"16-64 years",8.1
"266","Na h-Eileanan Siar",2017,"16-64 years",5.925
"267","North Ayrshire",2017,"16-64 years",9.7
"268","North Lanarkshire",2017,"16-64 years",6.275
"269","Orkney Islands",2017,"16-64 years",-0.0249999999999999
"270","Perth and Kinross",2017,"16-64 years",5.125
"271","Renfrewshire",2017,"16-64 years",0.9
"272","Scottish Borders",2017,"16-64 years",8.625
"273","Shetland Islands",2017,"16-64 years",-3.575
"274","South Ayrshire",2017,"16-64 years",6.95
"275","South Lanarkshire",2017,"16-64 years",8.025
"276","Stirling",2017,"16-64 years",6.1
"277","West Dunbartonshire",2017,"16-64 years",3.55
"278","West Lothian",2017,"16-64 years",8.025
"279","Aberdeen City",2018,"16-64 years",7.25
"280","Aberdeenshire",2018,"16-64 years",10.875
"281","Angus",2018,"16-64 years",4.45
"282","Argyll and Bute",2018,"16-64 years",6.475
"283","City of Edinburgh",2018,"16-64 years",10.2
"284","Clackmannanshire",2018,"16-64 years",11.175
