"","FeatureName","DateCode","Age","Value"
"560","Scottish Borders",2020,"25-49 years",12.4
"561","South Ayrshire",2020,"25-49 years",6.8
"562","South Lanarkshire",2020,"25-49 years",5.5
"563","Stirling",2020,"25-49 years",3.1
"564","West Dunbartonshire",2020,"25-49 years",3.5
"565","West Lothian",2020,"25-49 years",5
"566","Aberdeen City",2015,"50-64 years",8.825
"567","Aberdeenshire",2015,"50-64 years",19.825
"568","Angus",2015,"50-64 years",10.4
"569","Argyll and Bute",2015,"50-64 years",3.2
"570","City of Edinburgh",2015,"50-64 years",-0.8
"571","Clackmannanshire",2015,"50-64 years",7.875
"572","Dumfries and Galloway",2015,"50-64 years",15.6
"573","Dundee City",2015,"50-64 years",3.3
"574","East Ayrshire",2015,"50-64 years",10.85
"575","East Dunbartonshire",2015,"50-64 years",13.6
"576","East Lothian",2015,"50-64 years",6.925
"577","East Renfrewshire",2015,"50-64 years",12.5
"578","Falkirk",2015,"50-64 years",8.875
"579","Fife",2015,"50-64 years",8.75
"580","Glasgow City",2015,"50-64 years",9.1
"581","Highland",2015,"50-64 years",11.4
"582","Inverclyde",2015,"50-64 years",2.275
"583","Midlothian",2015,"50-64 years",-2.15
"584","Moray",2015,"50-64 years",17.125
"585","Na h-Eileanan Siar",2015,"50-64 years",8.775
"586","North Ayrshire",2015,"50-64 years",15.575
"587","North Lanarkshire",2015,"50-64 years",7.875
"588","Orkney Islands",2015,"50-64 years",8.825
"589","Perth and Kinross",2015,"50-64 years",11.05
"590","Renfrewshire",2015,"50-64 years",3.6
"591","Scottish Borders",2015,"50-64 years",6.4
"592","Shetland Islands",2015,"50-64 years",4.55
"593","South Ayrshire",2015,"50-64 years",4
"594","South Lanarkshire",2015,"50-64 years",14.45
"595","Stirling",2015,"50-64 years",14.85
"596","West Dunbartonshire",2015,"50-64 years",2.325
"597","West Lothian",2015,"50-64 years",12.675
"598","Aberdeen City",2016,"50-64 years",12
"599","Aberdeenshire",2016,"50-64 years",15.95
"600","Angus",2016,"50-64 years",12.6
"601","Argyll and Bute",2016,"50-64 years",6.975
"602","City of Edinburgh",2016,"50-64 years",0.25
"603","Clackmannanshire",2016,"50-64 years",10.975
"604","Dumfries and Galloway",2016,"50-64 years",19.25
"605","Dundee City",2016,"50-64 years",8.325
"606","East Ayrshire",2016,"50-64 years",13.55
"607","East Dunbartonshire",2016,"50-64 years",12.675
"608","East Lothian",2016,"50-64 years",1.5
"609","East Renfrewshire",2016,"50-64 years",12.725
"610","Falkirk",2016,"50-64 years",8.775
"611","Fife",2016,"50-64 years",16.525
"612","Glasgow City",2016,"50-64 years",12.275
"613","Highland",2016,"50-64 years",7.675
"614","Inverclyde",2016,"50-64 years",-0.5
"615","Midlothian",2016,"50-64 years",3.975
"616","Moray",2016,"50-64 years",14.05
"617","Na h-Eileanan Siar",2016,"50-64 years",11.275
"618","North Ayrshire",2016,"50-64 years",23.925
"619","North Lanarkshire",2016,"50-64 years",14.725
"620","Orkney Islands",2016,"50-64 years",4.525
"621","Perth and Kinross",2016,"50-64 years",13.275
"622","Renfrewshire",2016,"50-64 years",1.475
"623","Scottish Borders",2016,"50-64 years",9.675
"624","Shetland Islands",2016,"50-64 years",8.45
"625","South Ayrshire",2016,"50-64 years",6.175
"626","South Lanarkshire",2016,"50-64 years",4.95
"627","Stirling",2016,"50-64 years",14.25
"628","West Dunbartonshire",2016,"50-64 years",4.375
"629","West Lothian",2016,"50-64 years",15.275
"630","Aberdeen City",2017,"50-64 years",-4.65
"631","Aberdeenshire",2017,"50-64 years",12.15
"632","Angus",2017,"50-64 years",6.725
"633","Argyll and Bute",2017,"50-64 years",12.35
"634","City of Edinburgh",2017,"50-64 years",-1.975
"635","Clackmannanshire",2017,"50-64 years",7.75
"636","Dumfries and Galloway",2017,"50-64 years",17.1
"637","Dundee City",2017,"50-64 years",2.1
"638","East Ayrshire",2017,"50-64 years",12.675
"639","East Dunbartonshire",2017,"50-64 years",8.725
"640","East Lothian",2017,"50-64 years",8.05
"641","East Renfrewshire",2017,"50-64 years",17.7
"642","Falkirk",2017,"50-64 years",12.5
"643","Fife",2017,"50-64 years",14.225
"644","Glasgow City",2017,"50-64 years",8.15
"645","Highland",2017,"50-64 years",6.1
"646","Inverclyde",2017,"50-64 years",-6.85
"647","Midlothian",2017,"50-64 years",5.75
"648","Moray",2017,"50-64 years",13.55
"649","Na h-Eileanan Siar",2017,"50-64 years",9.425
"650","North Ayrshire",2017,"50-64 years",13.75
"651","North Lanarkshire",2017,"50-64 years",7.4
"652","Orkney Islands",2017,"50-64 years",3.775
"653","Perth and Kinross",2017,"50-64 years",9.725
"654","Renfrewshire",2017,"50-64 years",4.1
"655","Scottish Borders",2017,"50-64 years",8.525
"656","Shetland Islands",2017,"50-64 years",20.4
"657","South Ayrshire",2017,"50-64 years",4.5
"658","South Lanarkshire",2017,"50-64 years",9.7
"659","Stirling",2017,"50-64 years",6.4
"660","West Dunbartonshire",2017,"50-64 years",2.925
"661","West Lothian",2017,"50-64 years",7.875
"662","Aberdeen City",2018,"50-64 years",-1.1
"663","Aberdeenshire",2018,"50-64 years",12.95
"664","Angus",2018,"50-64 years",-2.175
"665","Argyll and Bute",2018,"50-64 years",7.6
"666","City of Edinburgh",2018,"50-64 years",1
"667","Clackmannanshire",2018,"50-64 years",11.7
"668","Dumfries and Galloway",2018,"50-64 years",13.8
"669","Dundee City",2018,"50-64 years",8.125
"670","East Ayrshire",2018,"50-64 years",12.5
"671","East Dunbartonshire",2018,"50-64 years",12.05
"672","East Lothian",2018,"50-64 years",16.45
"673","East Renfrewshire",2018,"50-64 years",13.25
"674","Falkirk",2018,"50-64 years",12.8
"675","Fife",2018,"50-64 years",6.9
"676","Glasgow City",2018,"50-64 years",5.25
"677","Highland",2018,"50-64 years",4.525
"678","Inverclyde",2018,"50-64 years",-7.325
"679","Midlothian",2018,"50-64 years",-1.525
"680","Moray",2018,"50-64 years",14.95
"681","Na h-Eileanan Siar",2018,"50-64 years",3.125
"682","North Ayrshire",2018,"50-64 years",12.125
"683","North Lanarkshire",2018,"50-64 years",6.55
"684","Orkney Islands",2018,"50-64 years",23.025
"685","Perth and Kinross",2018,"50-64 years",9.725
"686","Renfrewshire",2018,"50-64 years",3.375
"687","Scottish Borders",2018,"50-64 years",11.525
"688","Shetland Islands",2018,"50-64 years",29.825
"689","South Ayrshire",2018,"50-64 years",5.575
"690","South Lanarkshire",2018,"50-64 years",9.575
"691","Stirling",2018,"50-64 years",10.35
"692","West Dunbartonshire",2018,"50-64 years",3.6
"693","West Lothian",2018,"50-64 years",7.4
"694","Aberdeen City",2019,"50-64 years",3.525
"695","Aberdeenshire",2019,"50-64 years",15.4
"696","Angus",2019,"50-64 years",1.85
"697","Argyll and Bute",2019,"50-64 years",8.025
"698","City of Edinburgh",2019,"50-64 years",6.55
"699","Clackmannanshire",2019,"50-64 years",17
"700","Dumfries and Galloway",2019,"50-64 years",10.25
"701","Dundee City",2019,"50-64 years",6.225
"702","East Ayrshire",2019,"50-64 years",8.4
"703","East Dunbartonshire",2019,"50-64 years",5.3
"704","East Lothian",2019,"50-64 years",8.45
"705","East Renfrewshire",2019,"50-64 years",10.375
"706","Falkirk",2019,"50-64 years",7.3
"707","Fife",2019,"50-64 years",11.5
"708","Glasgow City",2019,"50-64 years",1
"709","Highland",2019,"50-64 years",12.7
"710","Inverclyde",2019,"50-64 years",-8.225
"711","Midlothian",2019,"50-64 years",4.05
"712","Moray",2019,"50-64 years",17.4
"713","Na h-Eileanan Siar",2019,"50-64 years",0.225
"714","North Ayrshire",2019,"50-64 years",9.675
"715","North Lanarkshire",2019,"50-64 years",6.25
"716","Orkney Islands",2019,"50-64 years",26.425
"717","Perth and Kinross",2019,"50-64 years",11.425
"718","Renfrewshire",2019,"50-64 years",8.725
"719","Scottish Borders",2019,"50-64 years",15.525
"720","Shetland Islands",2019,"50-64 years",31.95
"721","South Ayrshire",2019,"50-64 years",7.675
"722","South Lanarkshire",2019,"50-64 years",7.675
"723","Stirling",2019,"50-64 years",3.25
"724","West Dunbartonshire",2019,"50-64 years",4.375
"725","West Lothian",2019,"50-64 years",16.3
"726","Aberdeen City",2020,"50-64 years",1.7
"727","Aberdeenshire",2020,"50-64 years",20.7
"728","Angus",2020,"50-64 years",11.2
"729","Argyll and Bute",2020,"50-64 years",4.2
"730","City of Edinburgh",2020,"50-64 years",3.1
"731","Clackmannanshire",2020,"50-64 years",9.9
"732","Dumfries and Galloway",2020,"50-64 years",8.6
"733","Dundee City",2020,"50-64 years",5.9
"734","East Ayrshire",2020,"50-64 years",-0.2
"735","East Dunbartonshire",2020,"50-64 years",2.1
"736","East Lothian",2020,"50-64 years",15.6
"737","East Renfrewshire",2020,"50-64 years",9.3
"738","Falkirk",2020,"50-64 years",5.9
"739","Fife",2020,"50-64 years",12.9
"740","Glasgow City",2020,"50-64 years",0.5
"741","Highland",2020,"50-64 years",14.6
"742","Inverclyde",2020,"50-64 years",-3.4
"743","Midlothian",2020,"50-64 years",-0.6
"744","Moray",2020,"50-64 years",9.8
"745","Na h-Eileanan Siar",2020,"50-64 years",-4.4
"746","North Ayrshire",2020,"50-64 years",9.7
"747","North Lanarkshire",2020,"50-64 years",3.9
"748","Orkney Islands",2020,"50-64 years",18.9
"749","Perth and Kinross",2020,"50-64 years",17.6
"750","Renfrewshire",2020,"50-64 years",8.6
"751","Scottish Borders",2020,"50-64 years",14.3
"752","Shetland Islands",2020,"50-64 years",13.1
"753","South Ayrshire",2020,"50-64 years",7.9
"754","South Lanarkshire",2020,"50-64 years",16.3
"755","Stirling",2020,"50-64 years",-3.4
"756","West Dunbartonshire",2020,"50-64 years",2.6
"757","West Lothian",2020,"50-64 years",10.6
