"FeatureCode","City","FeatureType","Year","Measurement","Units","Value","Energy Type","Energy Consuming Sector"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",214.458,"Gas","Industrial"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",0.528,"Petroleum Products","Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",0.43,"Coal","Commercial"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",3.468,"Coal","All"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",9.27,"Petroleum Products","Agriculture"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",308.395,"Electricity","All"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",6.218,"Bioenergy & Wastes","Domestic"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",33.017,"Coal","Industrial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",1894.165,"All","Industrial & Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",2231.197,"All","Transport"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",19.468,"Bioenergy & Wastes","Road Transport"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",2.058,"Manufactured Fuels","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",1133.902,"All","Industrial & Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",514.799,"Petroleum Products","Agriculture"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",30.029,"Bioenergy & Wastes","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",133.594,"Electricity","Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",331.464,"Electricity","Domestic"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",8.765,"Coal","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",649.891,"Electricity","All"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",139.741,"Petroleum Products","Industrial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",1.497,"Petroleum Products","Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",43.734,"Coal","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",22.394,"Bioenergy & Wastes","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0.17,"Coal","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",231.194,"Electricity","Industrial"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",2.006,"Manufactured Fuels","Domestic"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",99.368,"Petroleum Products","Agriculture"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",2.936,"Petroleum Products","Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",875.181,"Electricity","All"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",886.512,"Petroleum Products","Road Transport"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",285.103,"Electricity","Domestic"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",308.917,"Petroleum Products","Industrial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0.767,"Petroleum Products","Public Sector"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",53.768,"Bioenergy & Wastes","Road Transport"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",25.76,"Bioenergy & Wastes","Commercial"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",176.72,"Electricity","Domestic"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",27.319,"Petroleum Products","Agriculture"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",8.704,"Manufactured Fuels","Industrial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",3088.237,"Petroleum Products","All"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",0,"Coal","Rail"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0.001,"Coal","Public Sector"
"S12000045","East Dunbartonshire","Council Area",2017,"Count","GWh",0.003,"Coal","Public Sector"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",344.595,"Electricity","Industrial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",5.566,"Petroleum Products","Domestic"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",1008.484,"All","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",86.753,"Petroleum Products","Industrial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",10.989,"Manufactured Fuels","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",1.072,"Petroleum Products","Agriculture"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",743.718,"All","Transport"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0,"Coal","Commercial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0.001,"Bioenergy & Wastes","Industrial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",0.037,"Coal","Commercial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0,"Manufactured Fuels","Industrial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.018,"Coal","Public Sector"
"S12000041","Angus","Council Area",2017,"Count","GWh",24.426,"Bioenergy & Wastes","Road Transport"
"S12000005","Clackmannanshire","Council Area",2017,"Count","GWh",256.698,"Petroleum Products","Road Transport"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",214.206,"Gas","Commercial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",819.905,"Petroleum Products","All"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",23.418,"Petroleum Products","Rail"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",2.925,"Bioenergy & Wastes","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",766.61,"Gas","Domestic"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",2938.745,"All","All"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",1207.458,"Gas","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",3.829,"Coal","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",11.29,"Petroleum Products","Rail"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",364.787,"Electricity","Industrial & Commercial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",5381.032,"All","All"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0,"Coal","Industrial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",0.655,"Petroleum Products","Public Sector"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",400.941,"Gas","Industrial"
"S12000008","East Ayrshire","Council Area",2017,"Count","GWh",133.958,"Bioenergy & Wastes","Industrial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",3.184,"Petroleum Products","Commercial"
"S12000042","Dundee City","Council Area",2017,"Count","GWh",0.751,"Manufactured Fuels","Domestic"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",37.173,"Bioenergy & Wastes","Industrial"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",1255.67,"All","Domestic"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.184,"Coal","All"
"S12000006","Dumfries and Galloway","Council Area",2017,"Count","GWh",621.747,"Gas","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",13.416,"Petroleum Products","Rail"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",2978.405,"All","All"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",7.281,"Manufactured Fuels","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",3461.336,"Petroleum Products","All"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",169.79,"Bioenergy & Wastes","All"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",27.261,"Petroleum Products","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1.111,"Coal","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",1476.501,"Petroleum Products","Road Transport"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Bioenergy & Wastes","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Bioenergy & Wastes","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1520.984,"Gas","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",300.063,"Petroleum Products","Industrial"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",0.789,"Petroleum Products","Public Sector"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Coal","Industrial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0,"Bioenergy & Wastes","Commercial"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",1.678,"Manufactured Fuels","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",11514.205,"All","All"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",797.033,"Electricity","Industrial & Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",4.068,"Petroleum Products","Agriculture"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",1.678,"Manufactured Fuels","All"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",0,"Manufactured Fuels","Industrial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.811,"Petroleum Products","Commercial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.567,"Manufactured Fuels","All"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",3118.157,"Petroleum Products","Road Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",16.267,"Manufactured Fuels","Industrial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",252.131,"Gas","Commercial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",1.688,"Bioenergy & Wastes","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",0,"Coal","Agriculture"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",142.68,"Electricity","Domestic"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",531.832,"All","Transport"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",3213.423,"All","Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",505.141,"Electricity","Industrial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",24.362,"Manufactured Fuels","All"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",1054.195,"Gas","Domestic"
"S12000041","Angus","Council Area",2017,"Count","GWh",935.556,"Petroleum Products","Road Transport"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",343.834,"Electricity","Industrial"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",28.851,"Bioenergy & Wastes","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",672.31,"Electricity","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",1163.48,"Electricity","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",2923.214,"Gas","Domestic"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",0,"Coal","Rail"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.156,"Coal","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",0.617,"Petroleum Products","Public Sector"
"S12000038","Renfrewshire","Council Area",2017,"Count","GWh",306.96,"Electricity","Industrial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",123.106,"Electricity","Industrial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",497.33,"Gas","Domestic"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",31.964,"Petroleum Products","Domestic"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",2910.874,"Gas","All"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",516.835,"Petroleum Products","Road Transport"
"S12000050","North Lanarkshire","Council Area",2017,"Count","GWh",539.836,"Electricity","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",198.682,"Electricity","Commercial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",0,"Bioenergy & Wastes","Industrial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",8.071,"Petroleum Products","Commercial"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",0.107,"Manufactured Fuels","Industrial"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",13.974,"Bioenergy & Wastes","Domestic"
"S12000040","West Lothian","Council Area",2017,"Count","GWh",2.115,"Petroleum Products","Commercial"
"S12000010","East Lothian","Council Area",2017,"Count","GWh",108.571,"Electricity","Commercial"
"S12000049","Glasgow City","Council Area",2017,"Count","GWh",5145.129,"Gas","All"
"S12000039","West Dunbartonshire","Council Area",2017,"Count","GWh",7.537,"Petroleum Products","Domestic"
