"FeatureName","DateCode","Age","Value"
"Fife",2016,"50-64 years",16.525
"Glasgow City",2016,"50-64 years",12.275
"Highland",2016,"50-64 years",7.675
"Inverclyde",2016,"50-64 years",-0.5
"Midlothian",2016,"50-64 years",3.975
"Moray",2016,"50-64 years",14.05
"Na h-Eileanan Siar",2016,"50-64 years",11.275
"North Ayrshire",2016,"50-64 years",23.925
"North Lanarkshire",2016,"50-64 years",14.725
"Orkney Islands",2016,"50-64 years",4.525
"Perth and Kinross",2016,"50-64 years",13.275
"Renfrewshire",2016,"50-64 years",1.475
"Scottish Borders",2016,"50-64 years",9.675
"Shetland Islands",2016,"50-64 years",8.45
"South Ayrshire",2016,"50-64 years",6.175
"South Lanarkshire",2016,"50-64 years",4.95
"Stirling",2016,"50-64 years",14.25
"West Dunbartonshire",2016,"50-64 years",4.375
"West Lothian",2016,"50-64 years",15.275
"Aberdeen City",2017,"50-64 years",-4.65
"Aberdeenshire",2017,"50-64 years",12.15
"Angus",2017,"50-64 years",6.725
"Argyll and Bute",2017,"50-64 years",12.35
"City of Edinburgh",2017,"50-64 years",-1.975
"Clackmannanshire",2017,"50-64 years",7.75
"Dumfries and Galloway",2017,"50-64 years",17.1
"Dundee City",2017,"50-64 years",2.1
"East Ayrshire",2017,"50-64 years",12.675
"East Dunbartonshire",2017,"50-64 years",8.725
"East Lothian",2017,"50-64 years",8.05
"East Renfrewshire",2017,"50-64 years",17.7
"Falkirk",2017,"50-64 years",12.5
"Fife",2017,"50-64 years",14.225
"Glasgow City",2017,"50-64 years",8.15
"Highland",2017,"50-64 years",6.1
"Inverclyde",2017,"50-64 years",-6.85
"Midlothian",2017,"50-64 years",5.75
"Moray",2017,"50-64 years",13.55
"Na h-Eileanan Siar",2017,"50-64 years",9.425
"North Ayrshire",2017,"50-64 years",13.75
"North Lanarkshire",2017,"50-64 years",7.4
"Orkney Islands",2017,"50-64 years",3.775
"Perth and Kinross",2017,"50-64 years",9.725
"Renfrewshire",2017,"50-64 years",4.1
"Scottish Borders",2017,"50-64 years",8.525
"Shetland Islands",2017,"50-64 years",20.4
"South Ayrshire",2017,"50-64 years",4.5
"South Lanarkshire",2017,"50-64 years",9.7
"Stirling",2017,"50-64 years",6.4
"West Dunbartonshire",2017,"50-64 years",2.925
"West Lothian",2017,"50-64 years",7.875
"Aberdeen City",2018,"50-64 years",-1.1
"Aberdeenshire",2018,"50-64 years",12.95
"Angus",2018,"50-64 years",-2.175
"Argyll and Bute",2018,"50-64 years",7.6
"City of Edinburgh",2018,"50-64 years",1
"Clackmannanshire",2018,"50-64 years",11.7
"Dumfries and Galloway",2018,"50-64 years",13.8
"Dundee City",2018,"50-64 years",8.125
"East Ayrshire",2018,"50-64 years",12.5
"East Dunbartonshire",2018,"50-64 years",12.05
"East Lothian",2018,"50-64 years",16.45
"East Renfrewshire",2018,"50-64 years",13.25
"Falkirk",2018,"50-64 years",12.8
"Fife",2018,"50-64 years",6.9
"Glasgow City",2018,"50-64 years",5.25
"Highland",2018,"50-64 years",4.525
"Inverclyde",2018,"50-64 years",-7.325
"Midlothian",2018,"50-64 years",-1.525
"Moray",2018,"50-64 years",14.95
"Na h-Eileanan Siar",2018,"50-64 years",3.125
"North Ayrshire",2018,"50-64 years",12.125
"North Lanarkshire",2018,"50-64 years",6.55
"Orkney Islands",2018,"50-64 years",23.025
"Perth and Kinross",2018,"50-64 years",9.725
"Renfrewshire",2018,"50-64 years",3.375
"Scottish Borders",2018,"50-64 years",11.525
"Shetland Islands",2018,"50-64 years",29.825
"South Ayrshire",2018,"50-64 years",5.575
"South Lanarkshire",2018,"50-64 years",9.575
"Stirling",2018,"50-64 years",10.35
"West Dunbartonshire",2018,"50-64 years",3.6
"West Lothian",2018,"50-64 years",7.4
"Aberdeen City",2019,"50-64 years",3.525
"Aberdeenshire",2019,"50-64 years",15.4
"Angus",2019,"50-64 years",1.85
"Argyll and Bute",2019,"50-64 years",8.025
"City of Edinburgh",2019,"50-64 years",6.55
"Clackmannanshire",2019,"50-64 years",17
"Dumfries and Galloway",2019,"50-64 years",10.25
"Dundee City",2019,"50-64 years",6.225
"East Ayrshire",2019,"50-64 years",8.4
"East Dunbartonshire",2019,"50-64 years",5.3
"East Lothian",2019,"50-64 years",8.45
"East Renfrewshire",2019,"50-64 years",10.375
"Falkirk",2019,"50-64 years",7.3
"Fife",2019,"50-64 years",11.5
"Glasgow City",2019,"50-64 years",1
"Highland",2019,"50-64 years",12.7
"Inverclyde",2019,"50-64 years",-8.225
"Midlothian",2019,"50-64 years",4.05
"Moray",2019,"50-64 years",17.4
"Na h-Eileanan Siar",2019,"50-64 years",0.225
"North Ayrshire",2019,"50-64 years",9.675
"North Lanarkshire",2019,"50-64 years",6.25
"Orkney Islands",2019,"50-64 years",26.425
"Perth and Kinross",2019,"50-64 years",11.425
"Renfrewshire",2019,"50-64 years",8.725
"Scottish Borders",2019,"50-64 years",15.525
"Shetland Islands",2019,"50-64 years",31.95
"South Ayrshire",2019,"50-64 years",7.675
"South Lanarkshire",2019,"50-64 years",7.675
"Stirling",2019,"50-64 years",3.25
"West Dunbartonshire",2019,"50-64 years",4.375
"West Lothian",2019,"50-64 years",16.3
"Aberdeen City",2020,"50-64 years",1.7
"Aberdeenshire",2020,"50-64 years",20.7
"Angus",2020,"50-64 years",11.2
"Argyll and Bute",2020,"50-64 years",4.2
"City of Edinburgh",2020,"50-64 years",3.1
"Clackmannanshire",2020,"50-64 years",9.9
"Dumfries and Galloway",2020,"50-64 years",8.6
"Dundee City",2020,"50-64 years",5.9
"East Ayrshire",2020,"50-64 years",-0.2
"East Dunbartonshire",2020,"50-64 years",2.1
"East Lothian",2020,"50-64 years",15.6
"East Renfrewshire",2020,"50-64 years",9.3
"Falkirk",2020,"50-64 years",5.9
"Fife",2020,"50-64 years",12.9
"Glasgow City",2020,"50-64 years",0.5
"Highland",2020,"50-64 years",14.6
"Inverclyde",2020,"50-64 years",-3.4
"Midlothian",2020,"50-64 years",-0.6
"Moray",2020,"50-64 years",9.8
"Na h-Eileanan Siar",2020,"50-64 years",-4.4
"North Ayrshire",2020,"50-64 years",9.7
"North Lanarkshire",2020,"50-64 years",3.9
"Orkney Islands",2020,"50-64 years",18.9
"Perth and Kinross",2020,"50-64 years",17.6
"Renfrewshire",2020,"50-64 years",8.6
"Scottish Borders",2020,"50-64 years",14.3
"Shetland Islands",2020,"50-64 years",13.1
"South Ayrshire",2020,"50-64 years",7.9
"South Lanarkshire",2020,"50-64 years",16.3
"Stirling",2020,"50-64 years",-3.4
"West Dunbartonshire",2020,"50-64 years",2.6
"West Lothian",2020,"50-64 years",10.6
