"FeatureName","DateCode","Age","Value"
"Inverclyde",2019,"16-24 years",5.825
"Midlothian",2019,"16-24 years",-4.7
"Moray",2019,"16-24 years",-3.075
"Na h-Eileanan Siar",2019,"16-24 years",-2.1
"North Ayrshire",2019,"16-24 years",7.23333333333333
"North Lanarkshire",2019,"16-24 years",-13.725
"Orkney Islands",2019,"16-24 years",0
"Perth and Kinross",2019,"16-24 years",2.875
"Renfrewshire",2019,"16-24 years",-0.35
"Scottish Borders",2019,"16-24 years",-6.7
"South Ayrshire",2019,"16-24 years",-2.5
"South Lanarkshire",2019,"16-24 years",-7.625
"Stirling",2019,"16-24 years",4.875
"West Dunbartonshire",2019,"16-24 years",-11.3
"West Lothian",2019,"16-24 years",-4.975
"Aberdeen City",2020,"16-24 years",3.1
"Aberdeenshire",2020,"16-24 years",-23.1
"Angus",2020,"16-24 years",11.5
"Argyll and Bute",2020,"16-24 years",15.4
"City of Edinburgh",2020,"16-24 years",4.1
"Clackmannanshire",2020,"16-24 years",-25.3
"Dumfries and Galloway",2020,"16-24 years",21
"Dundee City",2020,"16-24 years",-16.4
"East Ayrshire",2020,"16-24 years",9.7
"East Dunbartonshire",2020,"16-24 years",-18.4
"East Lothian",2020,"16-24 years",14.2
"East Renfrewshire",2020,"16-24 years",5.5
"Falkirk",2020,"16-24 years",13.6
"Fife",2020,"16-24 years",2.9
"Glasgow City",2020,"16-24 years",-3.8
"Highland",2020,"16-24 years",1
"Inverclyde",2020,"16-24 years",2.3
"Midlothian",2020,"16-24 years",-20.7
"Moray",2020,"16-24 years",-3
"Na h-Eileanan Siar",2020,"16-24 years",-14
"North Ayrshire",2020,"16-24 years",16.9
"North Lanarkshire",2020,"16-24 years",0.5
"Perth and Kinross",2020,"16-24 years",-4.7
"Renfrewshire",2020,"16-24 years",-10.6
"Scottish Borders",2020,"16-24 years",-14.5
"South Ayrshire",2020,"16-24 years",16.4
"South Lanarkshire",2020,"16-24 years",2
"Stirling",2020,"16-24 years",11.1
"West Dunbartonshire",2020,"16-24 years",-9.9
"West Lothian",2020,"16-24 years",1.1
"Aberdeen City",2015,"16-64 years",0.475
"Aberdeenshire",2015,"16-64 years",13.2
"Angus",2015,"16-64 years",8.875
"Argyll and Bute",2015,"16-64 years",4.7
"City of Edinburgh",2015,"16-64 years",3.15
"Clackmannanshire",2015,"16-64 years",14.025
"Dumfries and Galloway",2015,"16-64 years",7
"Dundee City",2015,"16-64 years",7.95
"East Ayrshire",2015,"16-64 years",3.375
"East Dunbartonshire",2015,"16-64 years",6.3
"East Lothian",2015,"16-64 years",7.525
"East Renfrewshire",2015,"16-64 years",9.325
"Falkirk",2015,"16-64 years",8.15
"Fife",2015,"16-64 years",7.275
"Glasgow City",2015,"16-64 years",5.725
"Highland",2015,"16-64 years",11.15
"Inverclyde",2015,"16-64 years",2.525
"Midlothian",2015,"16-64 years",0.975
"Moray",2015,"16-64 years",11.025
"Na h-Eileanan Siar",2015,"16-64 years",-0.6
"North Ayrshire",2015,"16-64 years",9.525
"North Lanarkshire",2015,"16-64 years",4.25
"Orkney Islands",2015,"16-64 years",7.3
"Perth and Kinross",2015,"16-64 years",3.5
"Renfrewshire",2015,"16-64 years",0.85
"Scottish Borders",2015,"16-64 years",6.55
"Shetland Islands",2015,"16-64 years",12.375
"South Ayrshire",2015,"16-64 years",7.675
"South Lanarkshire",2015,"16-64 years",9.15
"Stirling",2015,"16-64 years",8.025
"West Dunbartonshire",2015,"16-64 years",3.175
"West Lothian",2015,"16-64 years",7.775
"Aberdeen City",2016,"16-64 years",3.175
"Aberdeenshire",2016,"16-64 years",13.8
"Angus",2016,"16-64 years",6.975
"Argyll and Bute",2016,"16-64 years",6.875
"City of Edinburgh",2016,"16-64 years",8.425
"Clackmannanshire",2016,"16-64 years",11.775
"Dumfries and Galloway",2016,"16-64 years",11.45
"Dundee City",2016,"16-64 years",-1.575
"East Ayrshire",2016,"16-64 years",9.4
"East Dunbartonshire",2016,"16-64 years",6.425
"East Lothian",2016,"16-64 years",9.025
"East Renfrewshire",2016,"16-64 years",5.375
"Falkirk",2016,"16-64 years",10.05
"Fife",2016,"16-64 years",8.55
"Glasgow City",2016,"16-64 years",8.125
"Highland",2016,"16-64 years",2.825
"Inverclyde",2016,"16-64 years",-0.275
"Midlothian",2016,"16-64 years",6.825
"Moray",2016,"16-64 years",10.2
"Na h-Eileanan Siar",2016,"16-64 years",5.3
"North Ayrshire",2016,"16-64 years",13.525
"North Lanarkshire",2016,"16-64 years",5.525
"Orkney Islands",2016,"16-64 years",-7.325
"Perth and Kinross",2016,"16-64 years",3.125
"Renfrewshire",2016,"16-64 years",1.925
"Scottish Borders",2016,"16-64 years",10.55
"Shetland Islands",2016,"16-64 years",0.15
"South Ayrshire",2016,"16-64 years",5.3
"South Lanarkshire",2016,"16-64 years",6.175
"Stirling",2016,"16-64 years",3.825
"West Dunbartonshire",2016,"16-64 years",5.625
"West Lothian",2016,"16-64 years",9.775
"Aberdeen City",2017,"16-64 years",6.375
"Aberdeenshire",2017,"16-64 years",10.9
"Angus",2017,"16-64 years",6.725
"Argyll and Bute",2017,"16-64 years",8.4
"City of Edinburgh",2017,"16-64 years",4.325
"Clackmannanshire",2017,"16-64 years",5.1
"Dumfries and Galloway",2017,"16-64 years",13.05
"Dundee City",2017,"16-64 years",-4.95
"East Ayrshire",2017,"16-64 years",9.05
